round,ticker,daily,m1,m5,m15,error
0,SFAN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MREI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,WAPO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MDLN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,MPXL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MBAP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NETV.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,YOII.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NELY.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,JKON.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SPTO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,VICI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ENAK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,LPCK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,BMHS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CEKA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SAME.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DOSS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SHIP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,BAIK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CASS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ECII.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MCOR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,KEJU.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,?,,,,,worker-timeout>22s
0,CLPI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,KBLV.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AMMS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
